MODEL_NAME,NUM_EPOCHS,N,NUM_TRAJ,TRAJ_LENGTH,ACTIVATION,HIDDEN_SIZE,BETA,TRAIN_LOSS,TRAIN_AVERAGE_EUCLIDEAN_DISTANCE,VAL_LOSS,VAL_AVERAGE_EUCLIDEAN_DISTANCE,TEST_LOSS,TEST_AVERAGE_EUCLIDEAN_DISTANCE,Lyapunov1,Lyapunov2,Lyapunov3,MIN_SV3,MIN_GRAD_SV3
2026-09-04_15-16-12_beta0.5_randomseed0,20,3,200,5,"Softplus(beta=0.5, threshold=20.0)",16,0.5,4.92e-05,0.009869,5.29e-05,0.010491,5.29e-05,0.010491,0.8174332324380691,-0.01183251224643506,-14.968188446029924,0.7870676830121184,-0.3751573414846049
2026-09-04_15-20-29_beta0.5_randomseed1,20,3,200,5,"Softplus(beta=0.5, threshold=20.0)",16,0.5,1.42e-05,0.0054804,2.29e-05,0.0059103,1.04e-05,0.00477,0.8889980449713011,-0.006993301340365336,-14.83354598075689,0.7910382849525354,-0.3103604927126031
2026-09-04_15-24-53_beta0.5_randomseed2,20,3,200,5,"Softplus(beta=0.5, threshold=20.0)",16,0.5,4.15e-05,0.0089163,3.54e-05,0.007834,9.71e-05,0.0118255,0.8775872520638716,-0.009075999869010884,-14.828927892088416,0.7894633474329511,-0.3169616656611085
2026-09-04_15-29-08_beta0.5_randomseed3,20,3,200,5,"Softplus(beta=0.5, threshold=20.0)",16,0.5,2.24e-05,0.0067921,3.1e-05,0.0080136,2.99e-05,0.007259,0.8900135514108338,-0.014222390920131885,-14.866365809330834,0.7858472235061746,-0.2902478038012702
2026-09-04_15-33-36_beta0.5_randomseed4,20,3,200,5,"Softplus(beta=0.5, threshold=20.0)",16,0.5,1.9e-05,0.0059109,1.93e-05,0.006557,1.67e-05,0.0056266,0.904064297031379,-0.01042688171969052,-14.606510152300194,0.7971832115711893,-0.2900524726395276
2026-09-04_15-38-02_beta0.5_randomseed5,20,3,200,5,"Softplus(beta=0.5, threshold=20.0)",16,0.5,4.06e-05,0.0090915,0.0001898,0.0160527,2.25e-05,0.007091,0.9002695874549902,-0.014686549525448237,-15.105664404054489,0.789376876955461,-0.33751067267942086
2026-09-04_15-42-23_beta0.5_randomseed6,20,3,200,5,"Softplus(beta=0.5, threshold=20.0)",16,0.5,1.5e-05,0.0053464,1.01e-05,0.0046144,1.23e-05,0.005292,0.8782371070845668,-0.0061742853744549495,-14.8124052324799,0.787571337148221,-0.2851772237129807
2026-09-04_15-46-46_beta0.5_randomseed7,20,3,200,5,"Softplus(beta=0.5, threshold=20.0)",16,0.5,2.44e-05,0.00677,4.13e-05,0.0070575,1.94e-05,0.0065522,0.8498420243776872,-0.011827026220981873,-14.234902511005416,0.7966838449958424,-0.30583317506643726
2026-09-04_15-51-11_beta0.5_randomseed8,20,3,200,5,"Softplus(beta=0.5, threshold=20.0)",16,0.5,1.41e-05,0.0052343,1.63e-05,0.0059309,2.32e-05,0.0062024,0.8852083604942518,-0.006133815228092497,-14.292323140606157,0.7982542596771359,-0.2675377650312877
2026-09-04_15-55-39_beta0.5_randomseed9,20,3,200,5,"Softplus(beta=0.5, threshold=20.0)",16,0.5,1.83e-05,0.0060982,5.29e-05,0.0088835,1.76e-05,0.0062844,0.8952493197549757,-0.01155651493581172,-14.645604084197382,0.7906441990838957,-0.29342769529225377
