MODEL_NAME,NUM_EPOCHS,N,F,NUM_TRAJ,TRAJ_LENGTH,ACTIVATION,HIDDEN_SIZE,BETA,TRAIN_LOSS,TRAIN_AVERAGE_EUCLIDEAN_DISTANCE,VAL_LOSS,VAL_AVERAGE_EUCLIDEAN_DISTANCE,TEST_LOSS,TEST_AVERAGE_EUCLIDEAN_DISTANCE,Lyapunov,MINS_SV,MIN_GRADS_SV
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_1",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,3.61e-05,0.0159842,5.41e-05,0.0188746,5.51e-05,0.0197264,"[ 1.48613091  0.43733012  0.00823389 -0.39535076 -0.88002323 -1.53141679
 -2.46726762 -4.71657202]","[1.03306092 1.00472271 0.99265669 0.97980825 0.96884966 0.94531812
 0.92345746 0.89209987]","[-0.28849337 -0.44103623 -0.45847112 -0.43487046 -0.38828655 -0.33228944
 -0.3033336  -0.20084705]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_2",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,3.73e-05,0.0164686,6.44e-05,0.0206633,7.22e-05,0.0221385,"[ 1.58768862e+00  4.35586409e-01 -2.83115169e-03 -4.38768033e-01
 -9.50790733e-01 -1.51329841e+00 -2.55482388e+00 -4.53631462e+00]","[1.03393095 1.00533074 0.9939014  0.97988145 0.96742831 0.94583639
 0.92361297 0.88557639]","[-0.28364727 -0.40538401 -0.41009148 -0.38856735 -0.36368884 -0.37801948
 -0.34639961 -0.21339173]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_3",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,3.43e-05,0.0157798,7.5e-05,0.0219884,6.73e-05,0.0215237,"[ 1.61396390e+00  4.08141449e-01 -1.01486140e-03 -4.40388504e-01
 -9.33284583e-01 -1.53446266e+00 -2.53579555e+00 -4.74851136e+00]","[1.03328981 1.00589362 0.99282381 0.9804387  0.9686656  0.94465341
 0.92491538 0.88860937]","[-0.29502172 -0.37616407 -0.38328715 -0.36576347 -0.37017958 -0.35122275
 -0.30729925 -0.19385765]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_4",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,2.55e-05,0.0134591,5.79e-05,0.0196397,4.91e-05,0.0183757,"[ 1.6198985   0.48596889 -0.00570141 -0.39836761 -0.91356031 -1.49510327
 -2.53018901 -4.74849921]","[1.03420623 1.00515707 0.99210138 0.98088741 0.96806699 0.944945
 0.92276343 0.88661991]","[-0.30116156 -0.424636   -0.42355742 -0.39517997 -0.38057325 -0.36915692
 -0.35272809 -0.23445843]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_5",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,3.79e-05,0.0165225,8.99e-05,0.0251658,8.01e-05,0.0240409,"[ 1.55566619  0.38508774  0.01215595 -0.3676695  -0.9754008  -1.50814504
 -2.42475208 -4.87557567]","[1.03313635 1.00490202 0.99265885 0.98053369 0.96873624 0.94485037
 0.92483248 0.88937212]","[-0.28123291 -0.37378046 -0.39749712 -0.40630961 -0.38304704 -0.34887833
 -0.31391545 -0.20728163]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_6",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,3.07e-05,0.0147755,6.71e-05,0.0210466,4.8e-05,0.0186385,"[ 1.6178615   0.46662015 -0.01695783 -0.41981075 -0.91748099 -1.50234904
 -2.50375922 -4.72326378]","[1.03338702 1.005564   0.99375915 0.98031863 0.96833688 0.94514486
 0.92319936 0.88966357]","[-0.32835933 -0.38710491 -0.38384848 -0.404419   -0.38353107 -0.34310498
 -0.31232569 -0.19798306]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_7",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,2.86e-05,0.0142862,7.03e-05,0.0205204,6.9e-05,0.0211819,"[ 1.61001945e+00  4.78065989e-01 -7.58630108e-04 -3.89711147e-01
 -9.40692732e-01 -1.49777049e+00 -2.52687151e+00 -4.70489296e+00]","[1.03408183 1.00617344 0.99364417 0.98116341 0.96854834 0.94508325
 0.92540248 0.89011237]","[-0.3237071  -0.4209745  -0.41065681 -0.38804482 -0.38179576 -0.37143073
 -0.3061095  -0.18815237]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_8",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,4.07e-05,0.0170829,5.24e-05,0.0195005,4.96e-05,0.0191713,"[ 1.55925017e+00  4.78749589e-01  1.75157897e-03 -3.81254722e-01
 -8.96790407e-01 -1.49037224e+00 -2.41314508e+00 -4.81899381e+00]","[1.0316997  1.00495709 0.99325063 0.97882176 0.96914487 0.9446322
 0.9234289  0.8880119 ]","[-0.29063513 -0.38909988 -0.38388217 -0.4248695  -0.36174762 -0.37087807
 -0.42875871 -0.23096245]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_9",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,3.4e-05,0.0156658,6.54e-05,0.0222218,7.12e-05,0.0215876,"[ 1.60525386  0.45158426  0.00712946 -0.4238196  -0.93813565 -1.52733308
 -2.42039988 -4.76584501]","[1.0338211  1.00627896 0.99427338 0.97889681 0.96834247 0.94559833
 0.92530824 0.88876977]","[-0.31404003 -0.41708569 -0.38733571 -0.38180467 -0.39139053 -0.35053877
 -0.31776156 -0.18829211]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_10",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,2.36e-05,0.013128,4.88e-05,0.0183153,5.98e-05,0.0204235,"[ 1.58220877e+00  5.05468381e-01 -3.66275416e-03 -4.11940091e-01
 -9.24752651e-01 -1.55980013e+00 -2.56467980e+00 -4.68922621e+00]","[1.03439651 1.00331471 0.99381758 0.97920545 0.96743394 0.94346405
 0.92445087 0.88616319]","[-0.27046031 -0.37798633 -0.38056817 -0.39887703 -0.37440413 -0.34604777
 -0.31776682 -0.1881323 ]"
